"State","OBJECTID","ZIP","OBJECTID_1","DEPCODE","COUNTYNAME","FieldMatch","POName","Places","OBJECTID_12","ZIPX","c_places","Cases_1","LabelY"
"Florida",603,"33328",1004,6,"Broward","Broward-33328","Fort Lauderdale","Cooper City, Davie",123,"Broward-33328","Cooper City, Davie, Fort Lauderdale","761",761
"Florida",604,"33330",1005,6,"Broward","Broward-33330","Fort Lauderdale","Cooper City, Davie, Southwest Ranches, Pembroke Pines",124,"Broward-33330","Cooper City, Davie, Fort Lauderdale, Hollywood, Lauderdale Lakes, Southwest Ranches","386",386
"Florida",605,"33331",1006,6,"Broward","Broward-33331","Fort Lauderdale","Weston, Davie, Southwest Ranches, Pembroke Pines",125,"Broward-33331","Davie, Fort Lauderdale, Southwest Ranches, Weston","697",697
"Florida",606,"33332",1007,6,"Broward","Broward-33332","Fort Lauderdale","Weston, Southwest Ranches, Pembroke Pines",126,"Broward-33332","Fort Lauderdale, Southwest Ranches, Weston","346",346
"Florida",607,"33334",1008,6,"Broward","Broward-33334","Fort Lauderdale","Pompano Beach, Wilton Manors, Fort Lauderdale, Oakland Park",127,"Broward-33334","Fort Lauderdale, Oakland Park, Wilton Manors","1195",1195
"Florida",608,"33351",1009,6,"Broward","Broward-33351","Fort Lauderdale","Sunrise, Tamarac, Lauderhill",128,"Broward-33351","Fort Lauderdale, Lauderdale Lakes, Lauderhill, Miramar, Sunrise, Tamarac","1403",1403
"Florida",609,"33401",1012,50,"Palm Beach","Palm Beach-33401","West Palm Beach","West Palm Beach",769,"Palm Beach-33401","West Palm Beach","1153",1153
"Florida",610,"33403",1013,50,"Palm Beach","Palm Beach-33403","West Palm Beach","Riviera Beach, Lake Park, North Palm Beach, Palm Beach Gardens",770,"Palm Beach-33403","Lake Park, North Palm Beach, Palm Beach Gardens, Riviera Beach, West Palm Beach","339",339
"Florida",611,"33404",1014,50,"Palm Beach","Palm Beach-33404","West Palm Beach","West Palm Beach, Riviera Beach, Lake Park, North Palm Beach, Palm Beach Gardens, Palm Beach Shores",771,"Palm Beach-33404","Palm Beach Shores, Riviera Beach, Singer Island, West Palm Beach","1115",1115
"Florida",612,"33405",1015,50,"Palm Beach","Palm Beach-33405","West Palm Beach","West Palm Beach, Lake Clarke Shores, Lake Worth, Cloud Lake",772,"Palm Beach-33405","West Palm Beach","829",829
"Florida",613,"33406",1016,50,"Palm Beach","Palm Beach-33406","West Palm Beach","West Palm Beach, Palm Springs, Glen Ridge, Lake Clarke Shores, Lake Worth, Cloud Lake, Acacia Villas, Gun Club Estates, Pine Air, Royal Palm Estates, Westgate",773,"Palm Beach-33406","Cloud Lake, North Miami, Palm Springs, West Palm Beach","1394",1394
"Florida",614,"33407",1017,50,"Palm Beach","Palm Beach-33407","West Palm Beach","West Palm Beach, Riviera Beach, Mangonia Park",774,"Palm Beach-33407","Mangonia Park, Riviera Beach, West Palm Beach","1359",1359
"Florida",615,"33408",1018,50,"Palm Beach","Palm Beach-33408","North Palm Beach","Riviera Beach, Jupiter, Juno Beach, Lake Park, North Palm Beach, Palm Beach Gardens, Juno Ridge",775,"Palm Beach-33408","Juno Beach, North Palm Beach","317",317
"Florida",616,"33409",1019,50,"Palm Beach","Palm Beach-33409","West Palm Beach","West Palm Beach, Haverhill, Schall Circle, Westgate",776,"Palm Beach-33409","Haverhill, West Palm Beach","1167",1167
"Florida",617,"33410",1020,50,"Palm Beach","Palm Beach-33410","Palm Beach Gardens","Riviera Beach, Jupiter, Juno Beach, North Palm Beach, Palm Beach Gardens, Cabana Colony",777,"Palm Beach-33410","North Palm Beach, Palm Beach Gardens, Riviera Beach, West Palm Beach","791",791
"Florida",620,"33413",1023,50,"Palm Beach","Palm Beach-33413","West Palm Beach","Wellington, Haverhill, Greenacres, Lake Belvedere Estates, Royal Palm Estates",780,"Palm Beach-33413","Greenacres, West Palm Beach","588",588
